Time,2000 Users,5000 Users,8000 Users
8,0,458.6666666667,0
13,50.7692307692,764.8461538462,0
18,314.9444444444,1188.8333333333,0
23,566.3043478261,1701.6956521739,34.1666666667
28,1100.3928571429,2412.2857142857,196.8620689655
33,1279.0606060606,3210.696969697,383.7272727273
38,2427.3684210526,3020.052631579,591.9210526316
43,4353.2790697675,2671.3720930233,619.976744186
48,5587.8333333333,2393.1041666667,619.976744186
53,6627.4716981132,2175.8867924528,666.4716981132
58,7209.5172413793,2023.5517241379,633.3448275862
63,7681.0158730159,1862.9523809524,583.0793650794
68,7812.7058823529,1862.9523809524,569.3235294118
73,7867.7534246575,1608.1095890411,539.8630136986
78,7473.9230769231,1608.1095890411,513.9487179487
83,7028.5301204819,1423.5542168675,483.1445783133
88,6629.1818181818,1347.5,461.2727272727
93,6272.7849462366,1351.0681818182,445.8817204301
98,5980.1224489796,1216.7244897959,425.5204081633
103,5690.9417475728,1217.4081632653,408.6601941748
108,5469.9351851852,1106.7685185185,394.0740740741
108,5469.9351851852,1060.3982300885,378.9557522124
118,5030.6186440678,1017.1440677966,378.9557522124
123,4842.5203252033,979.7235772358,354.8699186992
