"Time","Requests","Requests/Sec","nUsers","nPages","nPagePosts","nUserPosts","nAlbums","nImageUploads"
"9","1900","211.11111111111111","1674","0","0","0","0","0"
"14","7478","534.1428571428571","2000","0","0","0","0","0"
"19","14095","741.8421052631579","2000","0","0","0","0","0"
"24","38144","1589.3333333333333","2000","0","0","0","0","0"
"28","99482","3552.9285714285716","2000","0","0","0","0","0"
"33","120009","3636.6363636363635","2000","4","4","114","12","19"
"38","121890","3207.6315789473683","2000","33","25","856","62","200"
"43","126927","2951.7906976744184","2000","33","25","856","62","200"
"48","126927","2644.3125","2000","33","25","856","62","200"
"53","126977","2395.7924528301887","2000","33","25","874","65","213"
"58","128163","2209.706896551724","2000","41","32","1088","77","319"
"63","129198","2050.7619047619046","2000","49","40","1320","84","382"
"68","129543","1905.0441176470588","2000","51","42","1419","88","395"
"73","129667","1776.2602739726028","2000","53","43","1441","88","406"
"78","129993","1666.576923076923","2000","57","46","1499","90","464"
"83","130381","1570.855421686747","2000","62","50","1571","96","516"
"83","130381","1570.855421686747","2000","66","53","1657","99","549"
"93","130967","1408.247311827957","2000","68","55","1723","102","562"
"93","130967","1408.247311827957","2000","70","56","1790","103","603"
"98","131264","1339.4285714285713","2000","75","61","1888","109","657"
"103","131907","1280.6504854368932","2000","78","63","1977","111","701"
"113","132408","1171.7522123893805","2000","78","64","2059","111","718"
"118","231612","1962.8135593220338","2000","79","65","2079","113","731"
"123","361380","2938.048780487805","2000","80","65","2128","113","750"
"123","493005","4008.170731707317","2000","81","66","2194","117","774"
"133","627568","4718.556390977444","2000","84","69","2253","117","800"
"138","627614","4547.927536231884","2000","86","70","2306","119","829"
"143","914932","6398.125874125874","2000","88","73","2373","120","868"
"148","1044092","7054.675675675676","2000","91","74","2446","123","905"
"153","1134060","7412.156862745098","2000","94","77","2466","124","921"
"158","1134258","7178.848101265823","2000","95","78","2519","125","947"
